product_name,amazon_price,meesho_price,discount_pct,rating,num_reviews,page_views,conversion_rate,demand_intensity,season,price_difference
KitchenPro Decor Plus,167.46,152.01,14.89,4.3,138,63,3.17,2.0,Winter,15.450000000000017
UrbanWear Dresses Premium,213.65,192.39,0.0,4.6,286,290,0.34,0.99,Winter,21.26000000000002
KitchenPro Storage Pro,48.4,47.29,0.0,4.5,191,410,0.24,0.98,Monsoon,1.1099999999999994
StyleHub Jackets Elite,236.81,229.18,14.79,3.9,133,460,0.22,1.01,Autumn,7.6299999999999955
StyleHub Jackets Elite,278.11,239.04,0.0,3.9,133,354,0.28,0.99,Autumn,39.07000000000002
StyleHub T-Shirts Pro,288.22,253.44,0.0,3.6,216,406,0.25,1.01,Winter,34.78000000000003
TechPro Laptops Elite,1728.18,1636.6,0.0,4.2,498,434,0.46,2.0,Summer,91.58000000000015
TechPro Laptops Pro,1818.71,1584.88,0.0,3.6,226,388,0.52,2.02,Monsoon,233.82999999999993
TechPro Headphones Plus,1514.59,1469.0,0.0,4.9,362,165,1.21,2.0,Monsoon,45.58999999999992
SmartGen Headphones Plus,2265.32,1976.83,0.0,3.6,66,334,0.3,1.0,Monsoon,288.49000000000024
ChicLine Jeans Premium,222.52,200.52,6.73,4.6,214,332,0.3,1.0,Winter,22.0
AcademiaBooks Comics Plus,94.33,87.78,0.0,3.6,315,167,1.2,2.0,Autumn,6.549999999999997
AcademiaBooks Comics Premium,71.16,64.66,0.0,4.1,161,169,0.59,1.0,Monsoon,6.5
StyleHub Jackets Elite,282.79,254.44,0.0,3.9,133,284,0.35,0.99,Summer,28.350000000000023
ModernSpace Storage Plus,363.92,320.13,0.0,4.4,85,158,0.63,1.0,Summer,43.79000000000002
HomeEssence Cookware Elite,459.88,444.04,0.0,3.9,389,371,0.27,1.0,Monsoon,15.839999999999975
AcademiaBooks Comics Premium,76.28,65.61,0.0,4.1,161,206,2.43,5.01,Monsoon,10.670000000000002
StyleHub Shoes Pro,53.72,52.13,0.0,4.1,256,117,1.71,2.0,Winter,1.5899999999999963
TrendSet Jeans Standard,295.73,259.41,20.99,4.2,226,176,1.14,2.01,Winter,36.31999999999999
AcademiaBooks Comics Plus,101.34,93.38,0.0,3.6,315,411,0.49,2.01,Autumn,7.960000000000008
HomeEssence Decor Pro,482.47,438.15,0.0,4.8,390,482,0.41,1.98,Summer,44.32000000000005
KitchenPro Storage Pro,45.72,40.99,0.0,4.5,191,351,0.57,2.0,Autumn,4.729999999999997
SmartGen Headphones Plus,2158.56,1882.43,0.0,3.6,66,390,0.51,1.99,Summer,276.1299999999999
StyleHub Jackets Premium,64.49,57.42,0.0,4.2,291,315,1.27,4.0,Winter,7.069999999999993
HomeEssence Storage Standard,118.27,102.51,22.38,4.7,146,356,0.56,1.99,Winter,15.759999999999991
StoryWorld Comics Standard,18.54,17.31,0.0,4.3,296,124,0.81,1.0,Monsoon,1.2300000000000004
HomeEssence Bedding Premium,572.51,541.67,0.0,5.0,344,255,0.78,1.99,Summer,30.840000000000032
DigiCorp Tablets Standard,1906.79,1845.13,0.0,4.9,182,53,1.89,1.0,Winter,61.659999999999854
ModernSpace Decor Premium,385.27,366.84,0.0,4.4,355,138,0.72,0.99,Winter,18.430000000000007
StyleHub Jackets Elite,270.27,251.57,0.0,3.9,133,179,0.56,1.0,Autumn,18.69999999999999
TrendSet Dresses Pro,391.06,367.53,0.0,3.8,122,308,0.65,2.0,Summer,23.53000000000003
HomeEssence Decor Pro,427.63,373.89,7.01,4.8,390,321,0.31,1.0,Summer,53.74000000000001
ClassicPress Non-Fiction Plus,47.15,44.63,0.0,4.0,417,105,0.95,1.0,Monsoon,2.519999999999996
TechPro Laptops Elite,940.68,887.03,0.0,4.3,482,71,4.23,3.0,Summer,53.64999999999998
StyleHub T-Shirts Pro,296.33,280.32,0.0,3.9,352,329,0.3,0.99,Monsoon,16.00999999999999
ModernSpace Decor Plus,640.85,558.08,8.2,4.7,461,420,0.24,1.01,Summer,82.76999999999998
ModernReads Non-Fiction Pro,15.12,13.64,0.0,4.3,357,346,0.58,2.01,Monsoon,1.4799999999999986
TechPro Tablets Elite,1491.36,1409.34,0.0,3.6,126,475,0.21,1.0,Summer,82.01999999999998
SmartGen Headphones Plus,2100.45,2010.5,0.0,3.6,66,387,0.78,3.02,Summer,89.94999999999982
AcademiaBooks Comics Plus,101.65,87.57,0.0,3.6,315,92,1.09,1.0,Summer,14.080000000000013
ElectroMax Smartwatches Plus,1869.32,1741.09,0.0,4.1,43,330,0.3,0.99,Monsoon,128.23000000000002
TechPro Headphones Standard,1809.7,1568.62,23.02,4.1,117,403,0.25,1.01,Monsoon,241.08000000000015
AcademiaBooks Textbooks Elite,35.77,34.44,0.0,3.8,252,172,1.16,2.0,Autumn,1.3300000000000054
ComfortLiving Decor Plus,601.53,517.09,0.0,4.5,244,481,0.62,2.98,Summer,84.43999999999994
KitchenPro Decor Plus,205.6,181.95,0.0,4.3,138,443,0.45,1.99,Autumn,23.650000000000006
UrbanWear Dresses Premium,216.52,208.13,0.0,4.6,286,203,0.49,0.99,Monsoon,8.390000000000015
TechPro Laptops Elite,1342.65,1251.41,20.01,4.2,498,318,0.31,0.99,Monsoon,91.24000000000001
HomeEssence Storage Standard,150.66,144.56,0.0,4.7,146,57,1.75,1.0,Summer,6.099999999999994
StyleHub T-Shirts Pro,242.35,232.72,19.35,3.9,352,54,3.7,2.0,Monsoon,9.629999999999995
ModernReads Comics Plus,34.88,32.46,0.0,4.3,10,326,0.31,1.01,Summer,2.4200000000000017
TechPro Laptops Premium,288.21,282.05,0.0,4.3,122,127,0.79,1.0,Monsoon,6.159999999999968
KitchenPro Decor Plus,212.21,183.12,0.0,4.3,138,253,0.4,1.01,Autumn,29.090000000000003
TechPro Laptops Elite,998.79,884.5,0.0,4.3,482,157,0.64,1.0,Winter,114.28999999999996
DigiCorp Smartphones Standard,587.83,554.81,0.0,4.6,285,256,0.39,1.0,Monsoon,33.020000000000095
ModernSpace Decor Plus,714.58,693.95,0.0,4.7,461,436,0.23,1.0,Summer,20.629999999999995
ElectroMax Smartwatches Plus,1799.41,1648.19,0.0,4.1,43,406,0.25,1.01,Monsoon,151.22000000000003
TrendSet Jeans Standard,362.49,328.98,0.0,4.2,226,95,1.05,1.0,Autumn,33.50999999999999
HomeEssence Cookware Elite,459.07,431.82,0.0,3.9,389,103,1.94,2.0,Monsoon,27.25
ModernSpace Storage Plus,367.51,334.26,0.0,4.4,85,201,0.5,1.0,Winter,33.25
TechPro Laptops Elite,1001.09,925.85,0.0,4.3,482,98,2.04,2.0,Autumn,75.24000000000001
TechPro Laptops Pro,1629.93,1419.97,5.16,3.6,226,323,0.31,1.0,Monsoon,209.96000000000004
AcademiaBooks Children Premium,78.21,69.61,0.0,3.8,32,345,0.58,2.0,Autumn,8.599999999999994
HomeEssence Storage Standard,126.04,114.82,19.17,4.7,146,342,0.58,1.98,Summer,11.220000000000013
ChicLine Jeans Premium,236.77,227.5,0.0,4.6,214,456,0.22,1.0,Summer,9.27000000000001
ClassicPress Children Plus,71.78,70.21,0.0,4.5,179,393,0.25,0.98,Monsoon,1.5700000000000074
TrendSet Dresses Pro,388.35,369.27,0.0,3.8,122,353,0.28,0.99,Winter,19.08000000000004
StyleHub Jackets Premium,65.09,55.84,0.0,4.2,291,211,0.47,0.99,Monsoon,9.25
HomeEssence Storage Standard,142.66,137.3,0.0,4.7,146,412,0.24,0.99,Monsoon,5.359999999999985
ElectroMax Smartphones Standard,1937.37,1771.3,0.0,5.0,450,330,0.61,2.01,Summer,166.06999999999994
ModernSpace Storage Plus,343.97,300.15,0.0,4.4,85,231,0.87,2.01,Summer,43.82000000000005
UrbanWear Dresses Premium,165.89,151.54,24.39,4.6,286,214,0.47,1.01,Autumn,14.349999999999994
ModernReads Comics Plus,33.45,28.74,0.0,4.3,10,187,0.53,0.99,Summer,4.710000000000004
HomeEssence Storage Standard,152.22,144.79,0.0,4.7,146,426,0.23,0.98,Winter,7.430000000000007
HomeEssence Cookware Elite,478.76,407.4,0.0,3.9,389,66,4.55,3.0,Summer,71.36000000000001
StyleHub Jackets Premium,63.83,55.03,0.0,4.2,291,373,0.54,2.01,Monsoon,8.799999999999997
TechPro Laptops Elite,1817.15,1734.06,0.0,4.2,498,292,0.68,1.99,Monsoon,83.09000000000015
StoryWorld Children Pro,47.91,42.77,0.0,4.7,366,194,1.03,2.0,Summer,5.1399999999999935
HomeEssence Decor Pro,479.51,457.22,0.0,4.8,390,497,0.6,2.98,Monsoon,22.289999999999964
ModernSpace Storage Plus,358.47,342.28,0.0,4.4,85,302,0.66,1.99,Winter,16.190000000000055
DigiCorp Smartphones Standard,577.08,531.39,0.0,4.6,285,423,0.24,1.02,Monsoon,45.690000000000055
StyleHub Jackets Elite,260.93,236.03,0.0,3.9,133,426,0.47,2.0,Winter,24.900000000000006
ClassicPress Non-Fiction Plus,48.94,43.85,0.0,4.0,417,337,0.59,1.99,Autumn,5.089999999999996
TrendSet Jeans Standard,369.28,318.9,0.0,4.2,226,318,0.63,2.0,Autumn,50.379999999999995
AcademiaBooks Comics Premium,73.09,64.52,0.0,4.1,161,380,0.53,2.01,Winter,8.570000000000007
TechPro Headphones Plus,1421.28,1239.82,0.0,4.9,362,138,0.72,0.99,Monsoon,181.46000000000004
StyleHub Shoes Pro,53.44,51.78,0.0,4.1,256,362,0.28,1.01,Monsoon,1.6599999999999966
ElectroMax Smartphones Standard,1921.56,1811.9,0.0,5.0,450,251,0.8,2.01,Monsoon,109.65999999999985
ClassicPress Non-Fiction Pro,44.88,40.94,0.0,4.5,125,264,0.38,1.0,Summer,3.940000000000005
StyleHub Jackets Premium,63.61,57.58,0.0,4.2,291,476,0.84,4.0,Summer,6.030000000000001
TechPro Tablets Elite,1554.24,1337.78,0.0,3.6,126,163,0.61,0.99,Winter,216.46000000000004
StoryWorld Comics Standard,17.73,16.49,0.0,4.3,296,333,1.8,5.99,Winter,1.240000000000002
TechPro Tablets Elite,1461.29,1308.69,0.0,3.6,126,270,0.37,1.0,Autumn,152.5999999999999
TechPro Laptops Premium,264.62,237.05,0.0,4.3,122,100,1.0,1.0,Summer,27.569999999999993
TechPro Laptops Elite,1709.16,1656.55,0.0,4.2,498,388,0.26,1.01,Monsoon,52.61000000000013
ClassicPress Children Plus,68.63,62.05,0.0,4.5,179,149,1.34,2.0,Winter,6.579999999999998
TechPro Laptops Pro,1395.68,1273.87,19.11,3.6,226,468,0.43,2.01,Autumn,121.81000000000017
ModernSpace Appliances Premium,88.33,79.06,17.42,4.5,299,364,0.55,2.0,Winter,9.269999999999996
StyleHub T-Shirts Pro,278.96,273.01,0.0,3.6,216,270,0.74,2.0,Winter,5.949999999999989
ModernSpace Storage Plus,340.6,311.64,0.0,4.4,85,420,0.71,2.98,Monsoon,28.960000000000036
StyleHub T-Shirts Pro,299.75,259.33,0.0,3.9,352,481,0.21,1.01,Winter,40.420000000000016
StoryWorld Comics Standard,18.52,16.04,0.0,4.3,296,351,0.57,2.0,Summer,2.4800000000000004
TechPro Headphones Plus,1385.58,1300.48,0.0,4.9,362,485,0.21,1.02,Summer,85.09999999999991
StyleHub T-Shirts Pro,294.01,276.86,0.0,3.9,352,151,1.32,1.99,Winter,17.149999999999977
ElectroMax Smartwatches Plus,1462.14,1307.43,23.66,4.1,43,321,0.62,1.99,Summer,154.71000000000004
HomeEssence Bedding Pro,25.64,24.22,0.0,3.9,487,184,0.54,0.99,Autumn,1.4200000000000017
TechPro Tablets Elite,1466.7,1295.57,0.0,3.6,126,346,0.29,1.0,Monsoon,171.1300000000001
TechPro Laptops Elite,1335.73,1160.48,22.15,4.2,498,338,0.3,1.01,Winter,175.25
ModernSpace Decor Premium,364.51,346.55,0.0,4.4,355,474,0.42,1.99,Winter,17.95999999999998
KitchenPro Decor Plus,204.47,184.64,0.0,4.3,138,146,0.68,0.99,Monsoon,19.830000000000013
AcademiaBooks Comics Premium,70.75,60.25,0.0,4.1,161,215,0.93,2.0,Monsoon,10.5
HomeEssence Decor Pro,476.76,439.35,0.0,4.8,390,322,0.31,1.0,Summer,37.40999999999997
UrbanWear Shoes Premium,253.08,230.88,0.0,4.7,107,164,1.22,2.0,Winter,22.200000000000017
HomeEssence Bedding Pro,27.18,23.16,0.0,3.9,487,370,0.27,1.0,Autumn,4.02
ElectroMax Smartwatches Plus,1819.89,1708.86,0.0,4.1,43,352,0.28,0.99,Winter,111.0300000000002
StoryWorld Children Pro,39.28,36.97,22.62,4.7,366,318,0.94,2.99,Summer,2.3100000000000023
KitchenPro Decor Plus,203.69,188.68,0.0,4.3,138,186,1.08,2.01,Autumn,15.009999999999991
ModernReads Non-Fiction Pro,15.03,13.06,0.0,4.4,377,133,1.5,2.0,Monsoon,1.9699999999999989
TrendSet Jeans Standard,355.22,327.24,0.0,4.2,226,83,1.2,1.0,Monsoon,27.980000000000018
ModernSpace Decor Premium,363.33,314.29,0.0,4.4,355,321,0.62,1.99,Winter,49.039999999999964
ElectroMax Smartphones Standard,1909.31,1800.82,0.0,5.0,450,101,0.99,1.0,Winter,108.49000000000001
TrendSet Dresses Pro,406.04,378.79,0.0,3.8,122,298,0.34,1.01,Monsoon,27.25
UrbanWear Shoes Premium,193.88,181.33,23.1,4.7,107,164,1.22,2.0,Winter,12.549999999999983
KitchenPro Storage Pro,45.19,39.61,0.0,4.5,191,307,0.65,2.0,Monsoon,5.579999999999998
TrendSet Dresses Pro,395.37,379.11,0.0,3.8,122,244,0.41,1.0,Autumn,16.25999999999999
HomeEssence Storage Standard,127.65,116.7,15.6,4.7,146,287,1.05,3.01,Autumn,10.950000000000003
TrendSet Jackets Premium,90.33,78.33,0.0,4.0,35,367,0.82,3.01,Monsoon,12.0
UrbanWear Shoes Premium,188.37,175.2,24.03,4.7,107,403,0.25,1.01,Autumn,13.170000000000016
KitchenPro Storage Pro,37.86,35.36,16.92,4.5,191,238,0.84,2.0,Winter,2.5
AcademiaBooks Children Premium,83.27,76.25,0.0,3.8,32,184,1.63,3.0,Summer,7.019999999999996
ClassicPress Non-Fiction Plus,44.55,39.34,0.0,4.0,417,66,1.52,1.0,Autumn,5.209999999999994
ComfortLiving Decor Plus,563.97,552.52,5.8,4.5,244,115,1.74,2.0,Winter,11.450000000000045
DigiCorp Tablets Standard,1871.96,1805.85,0.0,4.9,182,307,0.65,2.0,Autumn,66.11000000000013
ModernSpace Storage Plus,350.55,305.39,0.0,4.4,85,249,0.4,1.0,Monsoon,45.160000000000025
TrendSet Jackets Premium,89.31,79.4,0.0,4.0,35,130,1.54,2.0,Autumn,9.909999999999997
TechPro Headphones Plus,1469.71,1425.4,0.0,4.9,362,273,0.37,1.01,Summer,44.309999999999945
TechPro Laptops Elite,1679.75,1573.75,0.0,4.2,498,453,0.44,1.99,Monsoon,106.0
TrendSet Jeans Standard,382.94,341.2,0.0,4.2,226,306,0.65,1.99,Autumn,41.74000000000001
TrendSet Dresses Pro,402.11,343.34,0.0,3.8,122,51,1.96,1.0,Monsoon,58.77000000000004
ComfortLiving Decor Plus,609.7,589.0,0.0,4.5,244,218,0.46,1.0,Summer,20.700000000000045
KitchenPro Decor Plus,211.72,196.98,0.0,4.3,138,201,1.0,2.01,Monsoon,14.740000000000009
StyleHub T-Shirts Pro,214.12,197.25,23.59,3.6,216,419,0.72,3.02,Autumn,16.870000000000005
DigiCorp Smartphones Standard,510.54,481.87,15.54,4.6,285,426,0.23,0.98,Summer,28.670000000000016
StoryWorld Comics Standard,16.76,14.81,8.85,4.3,296,262,0.76,1.99,Winter,1.950000000000001
StyleHub T-Shirts Pro,282.74,248.93,0.0,3.9,352,55,3.64,2.0,Winter,33.81
ModernReads Non-Fiction Pro,15.22,13.42,0.0,4.4,377,394,0.51,2.01,Monsoon,1.8000000000000007
ChicLine Jeans Premium,243.9,222.11,0.0,4.6,214,251,0.8,2.01,Monsoon,21.789999999999992
TechPro Headphones Plus,1454.01,1284.35,0.0,4.9,362,202,1.49,3.01,Monsoon,169.66000000000008
ClassicPress Children Plus,68.95,58.72,0.0,4.5,179,95,3.16,3.0,Autumn,10.230000000000004
ModernReads Non-Fiction Pro,14.94,14.0,0.0,4.3,357,244,0.41,1.0,Summer,0.9399999999999995
TechPro Headphones Plus,1375.11,1207.15,0.0,4.9,362,162,1.23,1.99,Winter,167.9599999999998
ClassicPress Non-Fiction Pro,44.78,40.54,0.0,4.5,125,145,1.38,2.0,Summer,4.240000000000002
TechPro Headphones Plus,1419.59,1246.61,0.0,4.9,362,390,0.77,3.0,Winter,172.98000000000002
ChicLine Jeans Premium,251.99,219.13,0.0,4.6,214,333,0.9,3.0,Summer,32.860000000000014
ModernSpace Decor Plus,706.32,612.66,0.0,4.7,461,413,0.24,0.99,Monsoon,93.66000000000008
TechPro Headphones Standard,2293.32,2028.96,0.0,4.1,117,93,4.3,4.0,Monsoon,264.3600000000001
StoryWorld Children Pro,37.69,32.59,24.33,4.7,366,140,0.71,0.99,Monsoon,5.099999999999994
HomeEssence Cookware Elite,458.29,390.87,0.0,3.9,389,112,1.79,2.0,Monsoon,67.42000000000002
HomeEssence Bedding Pro,26.14,22.39,0.0,3.9,487,203,0.49,0.99,Summer,3.75
ClassicPress Non-Fiction Pro,45.21,40.29,0.0,4.5,125,290,0.69,2.0,Autumn,4.920000000000002
TrendSet Dresses Pro,408.36,347.81,0.0,3.8,122,458,0.44,2.02,Monsoon,60.55000000000001
ModernSpace Storage Plus,347.62,335.69,0.0,4.4,85,167,1.2,2.0,Winter,11.930000000000007
ClassicPress Children Plus,66.45,58.16,0.0,4.5,179,454,0.44,2.0,Winter,8.290000000000006
ModernReads Non-Fiction Pro,15.62,13.41,0.0,4.3,357,338,0.3,1.01,Summer,2.209999999999999
HomeEssence Cookware Elite,461.4,425.02,0.0,3.9,389,69,1.45,1.0,Autumn,36.379999999999995
TechPro Laptops Elite,1760.44,1589.68,0.0,4.2,498,190,0.53,1.01,Monsoon,170.76
HomeEssence Bedding Premium,571.23,497.7,0.0,5.0,344,105,3.81,4.0,Winter,73.53000000000003
TrendSet Jeans Standard,380.47,349.84,0.0,4.2,226,87,2.3,2.0,Summer,30.630000000000052
TechPro Laptops Pro,1681.68,1435.04,7.95,3.6,226,405,0.49,1.98,Summer,246.6400000000001
ModernSpace Storage Plus,348.93,315.02,0.0,4.4,85,207,1.93,4.0,Summer,33.910000000000025
TechPro Laptops Pro,1706.05,1593.6,0.0,3.6,226,137,0.73,1.0,Monsoon,112.45000000000005
SmartGen Headphones Plus,2184.21,1892.03,0.0,3.6,66,167,0.6,1.0,Autumn,292.18000000000006
StyleHub Dresses Standard,125.36,116.01,0.0,4.8,48,179,1.12,2.0,Monsoon,9.349999999999994
TechPro Headphones Standard,2261.31,2104.94,0.0,4.1,117,89,1.12,1.0,Winter,156.3699999999999
ClassicPress Non-Fiction Pro,38.39,34.75,15.12,4.5,125,444,0.45,2.0,Monsoon,3.6400000000000006
TrendSet Dresses Pro,387.48,368.66,0.0,3.8,122,168,0.6,1.01,Winter,18.819999999999993
HomeEssence Storage Standard,155.22,139.97,0.0,4.7,146,408,0.25,1.02,Winter,15.25
ClassicPress Children Plus,62.25,60.77,9.44,4.5,179,231,1.3,3.0,Summer,1.4799999999999969
HomeEssence Cookware Elite,459.86,441.56,0.0,3.9,389,293,0.68,1.99,Winter,18.30000000000001
HomeEssence Cookware Elite,396.68,340.59,11.35,3.9,389,470,0.64,3.01,Winter,56.09000000000003
TechPro Laptops Pro,1850.17,1788.85,0.0,3.6,226,422,0.47,1.98,Monsoon,61.320000000000164
UrbanWear Dresses Premium,224.93,206.24,0.0,4.6,286,369,0.27,1.0,Monsoon,18.689999999999998
ElectroMax Smartphones Standard,1622.13,1519.74,16.59,5.0,450,374,1.07,4.0,Monsoon,102.3900000000001
ClassicPress Non-Fiction Plus,47.44,41.44,0.0,4.0,417,485,0.21,1.02,Autumn,6.0
ModernSpace Decor Plus,685.55,610.17,0.0,4.7,461,149,0.67,1.0,Autumn,75.38
ComfortLiving Decor Plus,601.52,540.04,0.0,4.5,244,103,0.97,1.0,Summer,61.48000000000002
ModernSpace Decor Premium,381.5,329.66,0.0,4.4,355,327,0.61,1.99,Winter,51.839999999999975
ModernSpace Appliances Premium,110.17,107.52,0.0,4.5,299,285,0.7,2.0,Summer,2.6500000000000057
ClassicPress Non-Fiction Plus,43.16,41.81,11.41,4.0,417,242,0.83,2.01,Autumn,1.3499999999999943
TechPro Tablets Elite,1458.46,1357.95,0.0,3.6,126,68,2.94,2.0,Winter,100.50999999999999
StyleHub T-Shirts Pro,290.02,261.9,0.0,3.6,216,270,0.74,2.0,Winter,28.120000000000005
TechPro Headphones Standard,2378.6,2142.5,0.0,4.1,117,208,0.48,1.0,Winter,236.0999999999999
KitchenPro Decor Plus,210.71,202.04,0.0,4.3,138,207,0.48,0.99,Winter,8.670000000000016
KitchenPro Decor Plus,198.78,179.86,0.0,4.3,138,460,0.22,1.01,Winter,18.919999999999987
DigiCorp Smartphones Standard,595.37,540.62,0.0,4.6,285,353,0.57,2.01,Autumn,54.75
TechPro Laptops Premium,276.21,267.96,0.0,4.3,122,110,1.82,2.0,Winter,8.25
StyleHub Jackets Elite,243.57,218.47,13.99,3.9,133,443,0.45,1.99,Winter,25.099999999999994
StyleHub Dresses Standard,97.42,95.18,17.18,4.8,48,499,0.2,1.0,Monsoon,2.239999999999995
StyleHub T-Shirts Pro,293.44,258.46,0.0,3.6,216,208,0.48,1.0,Monsoon,34.98000000000002
StoryWorld Children Pro,51.63,47.15,0.0,4.7,366,403,0.25,1.01,Monsoon,4.480000000000004
TechPro Laptops Premium,278.34,257.86,0.0,4.3,122,421,0.71,2.99,Monsoon,20.47999999999996
AcademiaBooks Comics Plus,76.9,71.52,19.21,3.6,315,172,0.58,1.0,Monsoon,5.38000000000001
ElectroMax Smartwatches Plus,1913.66,1655.07,0.0,4.1,43,229,0.44,1.01,Monsoon,258.59000000000015
HomeEssence Bedding Premium,568.79,487.31,0.0,5.0,344,257,0.78,2.0,Autumn,81.47999999999996
StoryWorld Comics Standard,18.33,17.9,0.0,4.3,296,191,0.52,0.99,Monsoon,0.4299999999999997
ModernReads Non-Fiction Pro,13.1,11.93,12.68,4.4,377,373,0.27,1.01,Summer,1.17
TrendSet Jeans Standard,274.12,244.55,23.26,4.2,226,303,0.99,3.0,Winter,29.569999999999993
HomeEssence Bedding Pro,26.32,24.37,0.0,3.9,487,283,0.35,0.99,Winter,1.9499999999999993
ModernSpace Decor Plus,615.87,554.34,8.47,4.7,461,164,1.22,2.0,Summer,61.52999999999997
TrendSet Dresses Pro,408.09,347.27,0.0,3.8,122,493,0.2,0.99,Summer,60.81999999999999
TechPro Laptops Elite,987.26,871.82,0.0,4.3,482,199,1.01,2.01,Summer,115.43999999999994
StyleHub Jackets Elite,260.45,230.29,0.0,3.9,133,145,2.76,4.0,Monsoon,30.159999999999997
ComfortLiving Decor Plus,566.63,516.6,0.0,4.5,244,485,0.62,3.01,Winter,50.02999999999997
ModernSpace Decor Plus,661.65,608.25,0.0,4.7,461,357,0.56,2.0,Winter,53.39999999999998
TechPro Headphones Standard,2250.83,2186.39,0.0,4.1,117,297,0.34,1.01,Summer,64.44000000000005
KitchenPro Storage Pro,47.86,41.77,0.0,4.5,191,324,0.62,2.01,Summer,6.089999999999996
ClassicPress Non-Fiction Plus,36.64,34.07,18.7,4.0,417,464,0.65,3.02,Autumn,2.5700000000000003
AcademiaBooks Textbooks Elite,36.24,32.09,0.0,3.8,252,286,0.7,2.0,Summer,4.149999999999999
TechPro Laptops Elite,947.6,907.09,0.0,4.3,482,455,0.44,2.0,Winter,40.50999999999999
StoryWorld Comics Standard,17.14,15.29,0.0,4.3,296,426,0.47,2.0,Summer,1.8500000000000014
TechPro Laptops Elite,1694.73,1582.12,0.0,4.2,498,205,0.49,1.0,Winter,112.61000000000013
ClassicPress Non-Fiction Pro,41.83,37.95,0.0,4.5,125,358,0.56,2.0,Winter,3.8799999999999955
AcademiaBooks Children Premium,77.06,66.16,7.29,3.8,32,217,0.92,2.0,Monsoon,10.900000000000006
TechPro Laptops Elite,937.06,871.17,6.92,4.3,482,78,1.28,1.0,Summer,65.88999999999999
AcademiaBooks Children Premium,83.42,80.55,0.0,3.8,32,66,3.03,2.0,Autumn,2.8700000000000045
SmartGen Headphones Plus,2153.64,1884.89,0.0,3.6,66,89,1.12,1.0,Autumn,268.7499999999998
ModernSpace Decor Plus,683.66,623.37,0.0,4.7,461,59,5.08,3.0,Monsoon,60.289999999999964
TechPro Laptops Pro,1686.4,1614.45,0.0,3.6,226,117,0.85,0.99,Monsoon,71.95000000000005
StyleHub T-Shirts Pro,283.28,246.87,0.0,3.9,352,458,0.66,3.02,Autumn,36.40999999999997
TechPro Tablets Elite,1467.47,1278.45,0.0,3.6,126,481,0.21,1.01,Summer,189.01999999999998
ComfortLiving Decor Plus,565.28,528.64,0.0,4.5,244,294,0.34,1.0,Summer,36.639999999999986
ClassicPress Non-Fiction Pro,34.65,30.56,15.69,4.5,125,276,0.72,1.99,Monsoon,4.09
TrendSet Jackets Premium,88.65,85.38,0.0,4.0,35,400,0.5,2.0,Monsoon,3.2700000000000102
TechPro Laptops Elite,929.89,861.25,0.0,4.3,482,205,0.98,2.01,Summer,68.63999999999999
AcademiaBooks Comics Plus,93.81,80.91,0.0,3.6,315,156,1.28,2.0,Summer,12.900000000000006
ModernSpace Decor Plus,711.79,612.39,0.0,4.7,461,291,0.69,2.01,Monsoon,99.39999999999998
